ID,Name,Matches,Red Cards,Yellow Cards
7001,Michael Oliver,26,7,77
7002,Anthony Taylor,28,5,104
7003,Paul Tierney,27,5,107
7004,Martin Atkinson,26,2,65
7005,Mike Dean,26,2,82
7006,Craig Pawson,26,2,109
7007,Jonathan Moss,25,4,58
7008,Stuart Attwell,20,1,70
7009,David Coote,20,2,93
7010,Andre Marriner,19,2,63
7011,Kevin Friend,18,2,78
7012,Chris Kavanagh,18,4,69
7013,Andy Madley,16,2,36
7014,Darren England,15,1,60
7015,Simon Hooper,15,0,46
7016,Peter Bankes,12,2,55
7017,Robert Jones,12,0,33
7018,Graham Scott,12,1,40
7019,Jarred Gillett,9,1,31
7020,John Brooks,4,0,21
7021,Tony Harrington,3,0,7
7022,Michael Salisbury,3,0,12
