player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Robert Sanchez,0,0,37,3,1,Brighton and Hove Albion
16,Kjell Scherpen,0,0,0,0,0,Brighton and Hove Albion
31,Christian Walton,0,0,0,0,0,Brighton and Hove Albion
23,Jason Steele,0,0,1,0,0,Brighton and Hove Albion
38,Tom McGill,0,0,0,0,0,Brighton and Hove Albion
5,Lewis Dunk,1,0,29,3,1,Brighton and Hove Albion
4,Adam Webster,2,0,22,5,0,Brighton and Hove Albion
33,Dan Burn,0,1,16,4,0,Brighton and Hove Albion
24,Shane Duffy,1,0,18,7,0,Brighton and Hove Albion
28,Haydon Roberts,0,0,0,0,0,Brighton and Hove Albion
53,Antel Tsoungui,0,0,0,0,0,Brighton and Hove Albion
55,Ed Turns,0,0,0,0,0,Brighton and Hove Albion
57,Odel Offiah,0,0,0,0,0,Brighton and Hove Albion
3,Marc Cucurella,1,1,35,6,0,Brighton and Hove Albion
54,James Furlong,0,0,0,0,0,Brighton and Hove Albion
2,Tariq Lamptey,0,2,30,4,0,Brighton and Hove Albion
34,Joel Veltman,1,1,34,6,0,Brighton and Hove Albion
6,Michal Karbownik,0,0,0,0,0,Brighton and Hove Albion
35,Tudor Baluta,0,0,0,0,0,Brighton and Hove Albion
8,Yves Bissouma,1,2,26,10,0,Brighton and Hove Albion
12,Enock Mwepu,2,5,18,2,0,Brighton and Hove Albion
10,Alexis Mac Allister,5,2,33,4,0,Brighton and Hove Albion
15,Jakub Moder,0,3,28,2,0,Brighton and Hove Albion
13,Pascal GroB,2,4,29,1,0,Brighton and Hove Albion
25,Moises Caicedo,1,1,8,2,0,Brighton and Hove Albion
17,Steven Alzate,0,0,9,0,0,Brighton and Hove Albion
30,Taylor Richards,0,0,2,0,0,Brighton and Hove Albion
42,Marc Leonard,0,0,0,0,0,Brighton and Hove Albion
20,Solly March,0,2,31,1,0,Brighton and Hove Albion
60,Jeremy Sarmiento,0,0,5,0,0,Brighton and Hove Albion
14,Adam Lallana,0,1,24,4,0,Brighton and Hove Albion
59,Andy Moran,0,0,0,0,0,Brighton and Hove Albion
11,Leandro Trossard,8,3,34,0,0,Brighton and Hove Albion
9,Neal Maupay,8,2,32,7,0,Brighton and Hove Albion
7,Aaron Connolly,0,0,4,0,0,Brighton and Hove Albion
18,Danny Welback,6,3,25,0,0,Brighton and Hove Albion
19,Andi Zeqiri,0,0,0,0,0,Brighton and Hove Albion
27,Jurgen Locadia,0,0,1,0,0,Brighton and Hove Albion
21,Florin Andone,0,0,0,0,0,Brighton and Hove Albion
58,Evan Ferguson,0,0,1,0,0,Brighton and Hove Albion
